Nome do campo,Nome como consta na etiqueta adesiva local,Valores aceitos,Exemplo,Obrigatório?
unit_count[marketplace_id=A2Q3Y263D00KWC]#1.type[language_tag=pt_BR].value,Tipo de contagem de unidades,Especifique o tipo de unidade que um cliente pode usar para tomar uma decisão de compra. Uma garrafa de refrigerante pode vir em vários tamanhos e é medida em onças de fluido; uma caixa de parafusos é medida pela contagem de parafusos na caixa.,Cada,Condicionalmente obrigatório
unit_count[marketplace_id=A2Q3Y263D00KWC]#1.value,Contagem de unidades,Especifique a quantidade de unidades que o produto possui. Isso pode ser usado para calcular o Preço por unidade do produto.,5,Condicionalmente obrigatório
product_site_launch_date[marketplace_id=A2Q3Y263D00KWC]#1.value,Data de lançamento do produto no site,Forneça a data em que o produto será lançado. Ela deve ser exibida primeiro no site da Amazon (formato AAAA-MM-DD). A PSLD não influencia na capacidade de compra ou na lógica de pré-venda; ela é usada para indicar quando um produto estará visível e poderá ser pesquisado no site da Amazon,2017-07-20,Opcional
golf_club_flex[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Flexibilidade do taco de golfe,Forneça o tipo de flexibilidade do taco de golfe,"Normal, Dura",Condicionalmente obrigatório
golf_club_loft[marketplace_id=A2Q3Y263D00KWC]#1.value,Ângulo de batimento do taco de golfe,Insira o ângulo do batimento como um valor entre 0 a 90,"8.5, 9.5",Condicionalmente obrigatório
golf_club_loft[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade do ângulo de batimento do taco de golfe,Selecione a unidade correspondente,Graus,Condicionalmente obrigatório
league_name[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome da liga,Forneça o nome da liga associada ao produto.,NBA,Recomendado
team_name[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Nome do time,Insira o nome do tipo do produto,"Seattle Seahawks, Wisconsin Badgers",Condicionalmente obrigatório
athlete[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Atleta,Nome do atleta participando no evento,"Michael Jordan, Larry Bird",Condicionalmente obrigatório
scent[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Aroma,Forneça uma descrição do aroma do item,"Lavanda, Almíscar",Condicionalmente obrigatório
hand_orientation[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Orientação de uso,"Forneça o tipo de orientação de uso do item; canhoto, destro ou ambidestro","Canhoto, Destro",Condicionalmente obrigatório
band[marketplace_id=A2Q3Y263D00KWC]#1.color[language_tag=pt_BR]#1.value,Cor da pulseira,Descreve a cor da pulseira.,Preto,Condicionalmente obrigatório
cup[marketplace_id=A2Q3Y263D00KWC]#1.size[language_tag=pt_BR]#1.value,Tamanho do copo,Forneça o tamanho do copo para o qual o produto foi projetado,"A, B, DD",Condicionalmente obrigatório
embellishment_feature[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Recurso de enfeite,Descreva qualquer decoração ou acabamento apresentado pelo item,Renda,Recomendado
grip[marketplace_id=A2Q3Y263D00KWC]#1.size[language_tag=pt_BR]#1.value,Tamanho do cabo,Insira o tamanho do cabo,"Pequeno, 4-1/8 polegadas",Condicionalmente obrigatório
ink[marketplace_id=A2Q3Y263D00KWC]#1.color[language_tag=pt_BR]#1.value,Cor da tinta,Especifique a cor da tinta,"Azul, vermelho, preto",Condicionalmente obrigatório
length_range[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Gama de comprimento,Gama de comprimento para persianas,"24-60"" long",Condicionalmente obrigatório
neck[marketplace_id=A2Q3Y263D00KWC]#1.neck_style[language_tag=pt_BR]#1.value,Estilo da gola,Forneça ao pescoço o estilo do produto,Gola rente ao pescoço,Recomendado
version_for_country[marketplace_id=A2Q3Y263D00KWC]#1.value,Versão para o país,Forneça a lista de países em que o fabricante pretende vender o produto,"Alemanha, Japão, Índia",Condicionalmente obrigatório
width_range[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Gama de larguras,Gama de largura para persianas,"24-60"" wide",Condicionalmente obrigatório
seasons[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Estações,Especifique as estações mais apropriadas para o item,"Inverno, Outono",Recomendado
sleeve[marketplace_id=A2Q3Y263D00KWC]#1.type[language_tag=pt_BR]#1.value,Tipo de manga,Forneça o tipo de manga do item,"Manga curta, Sem mangas",Recomendado
closure[marketplace_id=A2Q3Y263D00KWC]#1.type[language_tag=pt_BR]#1.value,Tipo de fechamento,Informe o tipo de fechamento do produto,Ajustável,Condicionalmente obrigatório
sweater_form[marketplace_id=A2Q3Y263D00KWC]#1.value,Forma da camisola,Forneça a forma da camisola. A forma classifica as camisas com base nas caraterísticas e formas comuns.,Cardigã,Recomendado
garment_closure_length_description[marketplace_id=A2Q3Y263D00KWC]#1.value,Descrição do comprimento do fecho da peça de vestuário,Forneça o valor que descreve o comprimento do fecho em comparação com o comprimento total da peça de vestuário.,Comprimento total,Recomendado
hemline_form[marketplace_id=A2Q3Y263D00KWC]#1.value,Forma da bainha,Forneça a forma da bainha da peça de vestuário.  A bainha é a linha na borda inferior de uma peça de vestuário.,Bainha enviesada,Recomendado
special_feature[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Características especiais,Descreva informações sobre características especiais altamente específicas,Com cinto,Recomendado
lining_description[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Descrição do forro,Forneça uma descrição do forro.,"Malha, Lã",Recomendado
water_resistance_level[marketplace_id=A2Q3Y263D00KWC]#1.value,Nível de resistência à água,Informe o grau de resistência do produto à água,"À prova d'água, Não resistente à água",Recomendado
sport_type[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,Tipo de esporte,Forneça qualquer esporte específica para o qual o item foi projetado,Snowboarding,Recomendado
chest[marketplace_id=A2Q3Y263D00KWC]#1.size#1.unit,Unidade de tamanho da caixa,Digite a unidade de tamanho da caixa,"polegadas, metros, centímetros",Recomendado
chest[marketplace_id=A2Q3Y263D00KWC]#1.size#1.value,Tamanho da caixa,Digite o tamanho total da caixa do item,"5,5, 0,75, 28,6",Recomendado
grip[marketplace_id=A2Q3Y263D00KWC]#1.type[language_tag=pt_BR]#1.value,Tipo de cabo,Forneça o tipo de cabo do produto,"Insolado, Não isolado",Condicionalmente obrigatório
number_of_pockets[marketplace_id=A2Q3Y263D00KWC]#1.value,Número de bolsos,Forneça o número de bolsos,2,Recomendado
coat_silhouette_type[marketplace_id=A2Q3Y263D00KWC]#1.value,Tipo de silhueta de casaco,Fornecer o tipo de silhueta do casaco. A silhueta define a forma comum e a cobertura do corpo do casaco.,"Anoraque, blusão poncho",Recomendado
fabric_distressing[marketplace_id=A2Q3Y263D00KWC]#1.value,Desgaste do Tecido,"Informe o método de desgaste do tecido, processos usados, como lavagens, arranhões e vincos, que imitam o desgaste.",Lavado à Pedra,Recomendado
parentage_level[marketplace_id=A2Q3Y263D00KWC]#1.value,Nível de hierarquia,Especifique se um SKU é principal ou secundário,Principal,Opcional
child_parent_sku_relationship[marketplace_id=A2Q3Y263D00KWC]#1.child_relationship_type,Tipo de relação com o secundário,O relacionamento que o secundário tem com o principal,acessório,Condicionalmente obrigatório
child_parent_sku_relationship[marketplace_id=A2Q3Y263D00KWC]#1.parent_sku,SKU do produto pai,O SKU do item principal,ABC123,Condicionalmente obrigatório
variation_theme#1.name,Nome do tema de variação,Especifique o tema de variação que o produto utilizará. Os atributos do tema devem ser preenchidos para todos os itens no grupo.,NOME_DO_TAMANHO/NOME_DA_COR,Condicionalmente obrigatório
country_of_origin[marketplace_id=A2Q3Y263D00KWC]#1.value,País de origem,Selecione o país de origem do produto,"China, Japão, Estados Unidos",Obrigatório
supplier_declared_dg_hz_regulation[marketplace_id=A2Q3Y263D00KWC]#1.value,Regulamentações de produtos perigosos,"Se o produto for um Material, Substância, Resíduo perigoso sujeito à regulamentação para transporte, armazenamento, descarte, selecione uma opção","GHS, Transporte, Armazenamento",Obrigatório
ghs[marketplace_id=A2Q3Y263D00KWC]#1.classification#1.class,Classe de GHS,Selecione a Classe GHS do produto a partir da lista de valores válidos se o GHS for selecionado como o Regulamento de Mercadorias Perigosas. Classe GHS indica a declaração de aviso atribuída pelo sistema de classificação GHS.,Explosivo,Condicionalmente obrigatório
hazmat[marketplace_id=A2Q3Y263D00KWC]#1.aspect,Aspecto de materiais perigosos,Selecione o aspeto ou órgão regulador usado para as informações do produto perigoso,ID regulamentar UN,Condicionalmente obrigatório
hazmat[marketplace_id=A2Q3Y263D00KWC]#1.value,Materiais perigosos,Forneça informações sobre materiais perigosos relevantes para o produto com base no aspecto selecionado,UN1993,Condicionalmente obrigatório
safety_data_sheet_url[marketplace_id=A2Q3Y263D00KWC][language_tag=pt_BR]#1.value,URL da folha de dados de segurança (SDS ou MSDS),Forneça o URL do SDS/MSDS se algum valor diferente de Não Aplicável ou Desconhecido for selecionado na coluna Regulamento de Mercadorias Perigosas,www.safetysheetsRus.com/hazardous_substance/msds.pdf,Condicionalmente obrigatório
item_weight[marketplace_id=A2Q3Y263D00KWC]#1.value,Peso do item,Forneça o valor numérico do peso do item (sem incluir a embalagem),"30, 1.5",Condicionalmente obrigatório
item_weight[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade de peso do item,Selecione a unidade correspondente,"Libras, gramas.",Condicionalmente obrigatório
dsa_responsible_party_address[marketplace_id=A2Q3Y263D00KWC]#1.value,E-mail ou Endereço Eletrônico da Pessoa Responsável,"Informe o endereço de e-mail ou URL para que a Pessoa Responsável da UE cumpra o Regulamento Geral de Segurança de Produtos (GPSR). Se você já enviou as informações dessa Pessoa Responsável no passado, certifique-se de usar o mesmo e-mail ou URL.",rsp-email@example.com,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=application_guide]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Guia de aplicação)","Informe o local de origem da mídia de conformidade. (pt_BR, Guia de aplicação)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=certificate_of_analysis]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Certificado de análise)","Informe o local de origem da mídia de conformidade. (pt_BR, Certificado de análise)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=certificate_of_compliance]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Certificado de conformidade)","Informe o local de origem da mídia de conformidade. (pt_BR, Certificado de conformidade)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=compatibility_guide]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Guia de compatibilidade)","Informe o local de origem da mídia de conformidade. (pt_BR, Guia de compatibilidade)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=emergency_use_authorization]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Autorização de uso emergencial)","Informe o local de origem da mídia de conformidade. (pt_BR, Autorização de uso emergencial)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=emergency_use_authorization_amendment]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Alteração da autorização de uso emergencial)","Informe o local de origem da mídia de conformidade. (pt_BR, Alteração da autorização de uso emergencial)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=installation_manual]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Manual de instalação)","Informe o local de origem da mídia de conformidade. (pt_BR, Manual de instalação)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=instructions_for_use]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Instruções de uso)","Informe o local de origem da mídia de conformidade. (pt_BR, Instruções de uso)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=patient_fact_sheet]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Ficha técnica do paciente)","Informe o local de origem da mídia de conformidade. (pt_BR, Ficha técnica do paciente)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=provider_fact_sheet]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Ficha técnica do fornecedor)","Informe o local de origem da mídia de conformidade. (pt_BR, Ficha técnica do fornecedor)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=safety_data_sheet]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Folha de dados de segurança)","Informe o local de origem da mídia de conformidade. (pt_BR, Folha de dados de segurança)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=safety_information]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Informações de segurança)","Informe o local de origem da mídia de conformidade. (pt_BR, Informações de segurança)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=specification_sheet]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Ficha de especificações)","Informe o local de origem da mídia de conformidade. (pt_BR, Ficha de especificações)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=troubleshooting_guide]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Guia de solução de problemas)","Informe o local de origem da mídia de conformidade. (pt_BR, Guia de solução de problemas)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=user_guide]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Guia do usuário)","Informe o local de origem da mídia de conformidade. (pt_BR, Guia do usuário)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=user_manual]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Manual do usuário)","Informe o local de origem da mídia de conformidade. (pt_BR, Manual do usuário)",http://example.eg/sds_1.pdf,Opcional
compliance_media[marketplace_id=A2Q3Y263D00KWC][content_language=pt_BR][content_type=warranty]#1.source_location,"Localização da fonte de mídia de conformidade (pt_BR, Garantia)","Informe o local de origem da mídia de conformidade. (pt_BR, Garantia)",http://example.eg/sds_1.pdf,Opcional
gpsr_safety_attestation[marketplace_id=A2Q3Y263D00KWC]#1.value,Atestado de Segurança GPSR,"Marque “sim” se o produto não tem avisos e informações de segurança, pois pode ser usado de maneira segura e conforme o esperado sem essas instruções.",Sim,Opcional
gpsr_manufacturer_reference[marketplace_id=A2Q3Y263D00KWC]#1.gpsr_manufacturer_email_address,E-mail ou endereço eletrônico do fabricante,"Informe o endereço de e-mail ou URL do fabricante para cumprir o Regulamento Geral de Segurança de Produtos (GPSR) da UE. Se você já enviou as informações desse fabricante no passado, certifique-se de usar o mesmo e-mail ou URL.",abc@example.com,Opcional
ships_globally[marketplace_id=A2Q3Y263D00KWC]#1.value,Envio Global,Informe se o produto pode ser enviado globalmente pela Amazon.,Sim,Opcional
ghs_chemical_h_code[marketplace_id=A2Q3Y263D00KWC]#1.value,ghs_chemical_h_code[marketplace_id=A2Q3Y263D00KWC]#1.value,,,Opcional
batteries_required[marketplace_id=A2Q3Y263D00KWC]#1.value,Baterias são necessárias?,"Selecione ""sim"" se forem necessárias baterias para ligar o item (ou se o item for uma bateria) ou ""não"" se não for esse o caso. Note que uma bateria recarregável interna também é considerada uma bateria","Sim, Não",Condicionalmente obrigatório
batteries_included[marketplace_id=A2Q3Y263D00KWC]#1.value,Baterias incluídas?,"Selecione “sim” caso o produto contenha pilhas ou baterias (por exemplo, pilhas dentro de fones Bluetooth) e/ou caso o produto venha com pilhas/baterias (por exemplo, pilhas embaladas separadamente de uma câmera). Caso contrário, selecione “não”","Sim, Não",Condicionalmente obrigatório
battery[marketplace_id=A2Q3Y263D00KWC]#1.cell_composition#1.value,Composição da célula da pilha,Selecione a composição química da célula da pilha,"NiMH, Íon-lítio",Condicionalmente obrigatório
battery[marketplace_id=A2Q3Y263D00KWC]#1.cell_composition_other_than_listed[language_tag=pt_BR]#1.value,Composição da Célula da Bateria Diferente das Listadas,Informe os componentes da célula da bateria do produto que não estão listados em composição da célula da bateria.,Óxido de Prata (Ag2O),Condicionalmente obrigatório
battery[marketplace_id=A2Q3Y263D00KWC]#1.weight#1.value,Peso da bateria,Forneça o peso líquido total (valor numérico) das baterias incluídas. Este é o peso das baterias autônomas que não incluem embalagem ou dispositivo em que pode ser usada.,2.5,Condicionalmente obrigatório
battery[marketplace_id=A2Q3Y263D00KWC]#1.weight#1.unit,Unidade de peso da bateria,Forneça a unidade de peso da pilha,Gramas,Condicionalmente obrigatório
num_batteries[marketplace_id=A2Q3Y263D00KWC]#1.quantity,Número de baterias,"Especifique o número de baterias necessárias para alimentar o item  Se as baterias estiverem incluídas no item, lembre-se de considerar as baterias sobressalentes fornecidas","1, 4",Condicionalmente obrigatório
num_batteries[marketplace_id=A2Q3Y263D00KWC]#1.type,Tipo de bateria,"Indique o tipo de bateria necessário para alimentar o produto, incluindo peças de reposição, se inclusas. Algumas opções podem ser movidas para outro atributo, por exemplo, Código IEC","12V, 9V",Condicionalmente obrigatório
number_of_lithium_metal_cells[marketplace_id=A2Q3Y263D00KWC]#1.value,Número de células de metal de lítio,"Especifique o número total de células de lítio no produto em que a célula não está contida em uma bateria fechada (por exemplo, células tipo moeda)",7,Condicionalmente obrigatório
number_of_lithium_ion_cells[marketplace_id=A2Q3Y263D00KWC]#1.value,Número de células de íon-lítio,"Especifique o número total de células de íon-lítio no produto em que a célula não está contida em uma bateria fechada. Por exemplo, uma pilha AA é considerada uma célula",7,Condicionalmente obrigatório
lithium_battery[marketplace_id=A2Q3Y263D00KWC]#1.energy_content#1.value,Conteúdo de energia da bateria de lítio,Forneça o conteúdo de energia da bateria de lítio (valor numérico),2.6,Condicionalmente obrigatório
lithium_battery[marketplace_id=A2Q3Y263D00KWC]#1.energy_content#1.unit,Unidade de conteúdo de energia da bateria de lítio,Selecione a unidade correspondente,Watt-hora,Condicionalmente obrigatório
lithium_battery[marketplace_id=A2Q3Y263D00KWC]#1.packaging#1.value,Embalagem da bateria de lítio,Selecione “no equipamento” se a bateria estiver contida no item. Selecione “com equipamento” se a bateria for embalada separadamente com o dispositivo para o qual se destina. Selecione “somente” se o produto for uma bateria vendida separadamente ou com itens para os quais não se destina.,"Pilhas contidas no equipamento, Pilhas embaladas com o equipamento, Somente pilhas",Condicionalmente obrigatório
lithium_battery[marketplace_id=A2Q3Y263D00KWC]#1.weight#1.value,Peso da bateria de lítio,Forneça o peso do lítio contido na célula ou na bateria como um valor numérico,"0.5, 0.03",Condicionalmente obrigatório
lithium_battery[marketplace_id=A2Q3Y263D00KWC]#1.weight#1.unit,Unidade de peso da bateria de lítio,Selecione a unidade de peso correspondente,Gramas,Condicionalmente obrigatório
compliance_down_plumage_weight[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - Peso da Plumagem de Down,"Informe o peso da plumagem e do enchimento de penas usados no produto, para fins de conformidade.",Mais de 15 por cento de penas e plumas,Opcional
compliance_other_material_additions[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - Outras Adições de Material,"Informe os materiais presentes no produto, se aplicável, para fins de conformidade. Metais preciosos incluem ouro, prata, platina.",Pérolas,Opcional
compliance_is_handmade[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - É Feito à Mão,"Informe se o produto foi ou não feito à mão, para fins de conformidade.",Sim,Opcional
compliance_printing_method[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - Método de impressão,"Informe o estilo usado para imprimir um design no produto, para fins de conformidade. O método Batik é o uso de cera em tecido para criar desenhos.",Impresso à Mão - Batik,Opcional
compliance_age_range[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - Faixa Etária,"Informe a faixa etária para a qual o produto se destina, para fins de conformidade. Bebê/criança é definido como altura do corpo que não excede 86 cm.",Mulheres,Opcional
compliance_weave_type[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - Tipo de Tecelagem,"Informe o tipo de tecelagem do produto usado em sua fabricação, para fins de conformidade.","Tricotado, Crochê, Tecido",Condicionalmente obrigatório
compliance_is_furskin_present[marketplace_id=A2Q3Y263D00KWC]#1.value,Conformidade - Pele de Animal Presente,"Informe se o produto contém pele de pelo, para fins de conformidade. Pele de pelo refere-se a couros curtidos/tratados com a lã.",Sim,Opcional
main_product_image_locator[marketplace_id=A2Q3Y263D00KWC]#1.media_location,URL da imagem principal,O URL em que a imagem principal específica da oferta do produto está localizada.,http://www.companyname.com/images/1250.main.jpg,Opcional
other_product_image_locator_1[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL da imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_2[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL da imagem,O URL para imagens adicionais do seu produto. Essas imagens serão exibidas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_3[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL de imagem,O URL para imagens adicionais do seu produto. Estas imagens serão mostradas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_4[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL de imagem,O URL para imagens adicionais do seu produto. Estas imagens serão mostradas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_5[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL de imagem,O URL para imagens adicionais do seu produto. Estas imagens serão mostradas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_6[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL de imagem,O URL para imagens adicionais do seu produto. Estas imagens serão mostradas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_7[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL de imagem,O URL para imagens adicionais do seu produto. Estas imagens serão mostradas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
other_product_image_locator_8[marketplace_id=A2Q3Y263D00KWC]#1.media_location,Outro URL de imagem,O URL para imagens adicionais do seu produto. Estas imagens serão mostradas na página de detalhes quando o cliente clicar para ver outras visualizações associadas ao produto.,http://www.companyname.com/images/1250.other1.jpg,Opcional
swatch_product_image_locator[marketplace_id=A2Q3Y263D00KWC]#1.media_location,URL da imagem de amostra,O URL em que está localizada uma imagem de uma amostra de cor do produto,http://www.companyname.com/images/1250.swatch.jpg,Opcional
item_package_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.length.value,Comprimento do pacote,Forneça o comprimento da embalagem como um valor numérico.,10,Condicionalmente obrigatório
item_package_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.length.unit,Unidade de comprimento do pacote,"Selecione a unidade de medida do comprimento do pacote. Se um valor do comprimento do pacote for fornecido, deve também inserir a unidade correspondente.",Polegadas,Condicionalmente obrigatório
item_package_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.width.value,Largura do pacote,Forneça a largura do pacote como um valor numérico.,2,Condicionalmente obrigatório
item_package_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.width.unit,Unidade de largura do pacote,"Selecione a unidade de medida da largura do pacote. Se um valor da largura do pacote for fornecido, deve também inserir a unidade correspondente.",Polegadas,Condicionalmente obrigatório
item_package_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.height.value,Altura do pacote,Forneça a altura do pacote como um valor numérico.,2.7,Condicionalmente obrigatório
item_package_dimensions[marketplace_id=A2Q3Y263D00KWC]#1.height.unit,Unidade de altura do pacote,"Selecione a unidade de medida da altura da embalagem. Se o valor da altura da embalagem for fornecido, deve também inserir a unidade correspondente.",Polegadas,Condicionalmente obrigatório
item_package_weight[marketplace_id=A2Q3Y263D00KWC]#1.value,Peso do pacote,Forneça o peso do pacote como um valor numérico.,0.65,Condicionalmente obrigatório
item_package_weight[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade de peso do pacote,"Selecione a unidade de medida do peso do pacote. Se um valor do peso do pacote for fornecido, deve também inserir a unidade correspondente.","Libras, Gramas",Condicionalmente obrigatório
item_display_weight[marketplace_id=A2Q3Y263D00KWC]#1.value,Peso da tela do item,Força o peso do item (numérico) se o produto for sólido,"20, 50",Condicionalmente obrigatório
item_display_weight[marketplace_id=A2Q3Y263D00KWC]#1.unit,Unidade de peso da tela do item,Selecione a unidade correspondente,"Onças, libras",Condicionalmente obrigatório
